,Movie_Name,Ratings,Release_Date,Duration,Original_Language,Description,Box Office,Certificate (MPAA),Month,Category_Encoded,Film_Actor_Encoded,Writer_Encoded,Companies_Encoded,Directors_Encoded
1017,504,0.77,1971-12-23,102,5,2252,35988495,7,12,107,1841,220,766,393
1019,505,0.19,2008-08-29,87,5,1714,34816824,6,8,32,1698,363,106,562
1022,506,0.52,2014-01-01,95,5,2077,137900000,5,1,251,1036,1269,1189,1060
1023,507,0.66,2018-04-27,114,5,644,8003180,7,4,365,946,1365,1404,5
1025,508,0.79,2009-08-14,112,5,1425,210888950,7,8,106,1188,994,853,911
1026,509,0.68,2007-04-13,105,5,2281,118114220,6,4,335,1201,1903,1810,308
1027,510,0.66,2014-03-21,139,5,1449,288885818,6,3,0,1184,54,711,908
1028,511,0.85,2012-12-25,165,5,2368,426076293,7,12,191,30,1171,778,1007
1032,512,0.79,1989-07-21,120,5,1699,37295445,7,7,302,1933,1419,663,33
1035,513,0.73,2019-11-08,152,5,2380,72385286,7,11,349,2142,953,1196,886
1036,514,0.75,2016-11-04,115,5,2342,677796833,6,11,68,1315,558,161,1101
1037,515,0.69,2022-05-06,126,5,1171,955775804,6,5,68,1316,944,161,1095
1039,516,0.79,1965-12-31,197,5,1981,111926200,0,12,338,862,1737,190,344
1040,517,0.67,2004-06-18,92,5,278,168423227,6,6,267,1298,1183,886,1015
1041,518,0.8,1975-12-25,125,5,2082,50002721,7,12,335,1709,91,1236,21
1042,519,0.68,2024-04-05,115,5,77,4182673,7,4,107,1689,779,117,792
1043,520,0.73,1999-11-12,130,5,895,31430896,7,11,187,1228,684,1119,751
1044,521,0.71,2009-11-11,97,9,119,721914,4,11,335,1830,9,1402,195
1045,522,0.8,2004-04-23,178,5,643,16690617,7,4,107,844,714,1359,766
1048,523,0.65,2013-09-27,90,5,41,39439355,7,9,282,238,593,1126,700
1049,524,0.71,2016-08-26,88,5,2086,157761002,7,8,375,1242,68,626,425
1052,525,0.72,2021-12-24,138,5,2163,791863,7,12,283,430,1438,2075,1112
1055,526,0.63,2022-09-23,123,5,2339,87609403,7,9,335,2156,653,266,939
1056,527,0.77,1997-02-28,127,5,889,124909762,7,2,107,1711,592,145,894
1057,528,0.8,2001-01-19,113,5,822,7413872,7,1,333,2374,1206,368,1026
1060,529,0.61,2019-08-09,102,5,1873,120597108,5,8,39,2347,1005,493,537
1061,530,0.65,1999-09-24,105,5,1607,177841558,7,9,279,892,2108,381,228
1062,531,0.75,2008-12-25,104,5,22,51699984,6,12,335,684,529,2019,664
1064,532,0.62,1996-03-01,92,5,1623,37553752,6,3,325,332,242,679,358
